GeneID,ftype,gene,EC_number,product,locus_tag,function,BRO_1_ANAMMOX,BRO_2_ANAMMOX,BRO_1_SP_ELECTRODE,BRO_2_SP_ELECTRODE,,GeneID
PROKKA_15184,CDS,sacC_1,3.2.1.80,Levanase,,,325,533,77,78,,PROKKA_15184_CDS_sacC_1_3.2.1.80_Levanase__
PROKKA_15185,CDS,,,acetyl-CoA carboxylase carboxyl transferase subunit alpha,BROSI_A3168,,1766,3393,356,416,,PROKKA_15185_CDS___acetyl-CoA carboxylase carboxyl transferase subunit alpha_BROSI_A3168_
PROKKA_15186,CDS,hsdM_6,,DNA methylase M,SCALIN_C04_0363,,374,794,116,110,,PROKKA_15186_CDS_hsdM_6__DNA methylase M_SCALIN_C04_0363_
PROKKA_15187,CDS,,,hypothetical protein,,,49,76,23,15,,PROKKA_15187_CDS___hypothetical protein__
PROKKA_15188,CDS,hsdS_2,,Type-1 restriction enzyme EcoKI specificity protein,,,46,43,13,37,,PROKKA_15188_CDS_hsdS_2__Type-1 restriction enzyme EcoKI specificity protein__
PROKKA_15189,CDS,,,transposase,SCALIN_C28_0358,,50,114,18,28,,PROKKA_15189_CDS___transposase_SCALIN_C28_0358_
PROKKA_15190,CDS,,,type I restriction-modification system restriction subunit,SCALIN_C04_0360,,90,145,21,45,,PROKKA_15190_CDS___type I restriction-modification system restriction subunit_SCALIN_C04_0360_
PROKKA_15191,CDS,,,metal-dependent hydrolase,BROSI_A3830,,24,47,7,10,,PROKKA_15191_CDS___metal-dependent hydrolase_BROSI_A3830_
PROKKA_15192,CDS,,,hypothetical protein,,,108,144,2,10,,PROKKA_15192_CDS___hypothetical protein__
PROKKA_15193,CDS,,,CDP-diacylglycerol-serine O-phosphatidyltransferase,BROSI_A2175,,4044,7408,480,473,,PROKKA_15193_CDS___CDP-diacylglycerol-serine O-phosphatidyltransferase_BROSI_A2175_
PROKKA_15194,CDS,,,adenylate kinase,SCALIN_C27_0123,,263,398,147,213,,PROKKA_15194_CDS___adenylate kinase_SCALIN_C27_0123_
PROKKA_15195,CDS,,,membrane associated lipoprotein,BROSI_A3166,thiamine biosynthesis apbE,521,943,148,204,,PROKKA_15195_CDS___membrane associated lipoprotein_BROSI_A3166_thiamine biosynthesis apbE
PROKKA_15196,CDS,,,phosphoesterase,SCALIN_C29_0013,,757,1276,96,109,,PROKKA_15196_CDS___phosphoesterase_SCALIN_C29_0013_
PROKKA_15197,CDS,,,inorganic ion or dicarboxylate transport protein of TDT family,BROSI_A2859,,152,283,55,98,,PROKKA_15197_CDS___inorganic ion or dicarboxylate transport protein of TDT family_BROSI_A2859_
PROKKA_15198,CDS,,,hypothetical protein,,,74,177,29,71,,PROKKA_15198_CDS___hypothetical protein__
PROKKA_15199,CDS,,,protein with FOG domain and PKD repeat,BROSI_A2531,,599,1018,289,405,,PROKKA_15199_CDS___protein with FOG domain and PKD repeat_BROSI_A2531_
PROKKA_15200,CDS,,,cyclohexadienyl/prephenate dehydrogenase,BROSI_A2299,,136,234,47,136,,PROKKA_15200_CDS___cyclohexadienyl/prephenate dehydrogenase_BROSI_A2299_
PROKKA_15201,CDS,,,phosphoribosylformylglycinamidine synthase II,BROSI_A2300,,910,1609,295,277,,PROKKA_15201_CDS___phosphoribosylformylglycinamidine synthase II_BROSI_A2300_
PROKKA_15202,CDS,,,TetR family transcriptional regulator,BROSI_A2412,,438,734,277,450,,PROKKA_15202_CDS___TetR family transcriptional regulator_BROSI_A2412_
PROKKA_15203,CDS,,,membrane-fusion protein,BROSI_A2411,,1081,1930,217,396,,PROKKA_15203_CDS___membrane-fusion protein_BROSI_A2411_
PROKKA_15204,CDS,,,acriflavin resistance protein,BROSI_A2410,,5712,10196,1866,2137,,PROKKA_15204_CDS___acriflavin resistance protein_BROSI_A2410_
PROKKA_15205,CDS,,,methylmalonyl-CoA epimerase,BROSI_A2317,,207,396,54,71,,PROKKA_15205_CDS___methylmalonyl-CoA epimerase_BROSI_A2317_
PROKKA_15206,CDS,,,hypothetical protein,,,342,803,113,136,,PROKKA_15206_CDS___hypothetical protein__
PROKKA_15207,CDS,,,hypothetical protein,,,18,40,18,18,,PROKKA_15207_CDS___hypothetical protein__
PROKKA_15208,CDS,,,hypothetical protein,,,43,66,26,39,,PROKKA_15208_CDS___hypothetical protein__
PROKKA_15209,CDS,,,nucleoside-diphosphate-sugar epimerases,BROSI_A1870,,265,387,52,90,,PROKKA_15209_CDS___nucleoside-diphosphate-sugar epimerases_BROSI_A1870_
PROKKA_15210,CDS,,,CDP-paratose 2-epimerase,BROSI_A1869,,69,109,15,33,,PROKKA_15210_CDS___CDP-paratose 2-epimerase_BROSI_A1869_
PROKKA_15211,CDS,,,glycosyltransferase family 2,BROSI_A1868,,33,54,2,21,,PROKKA_15211_CDS___glycosyltransferase family 2_BROSI_A1868_
PROKKA_15212,CDS,,,hypothetical protein,,,64,110,25,44,,PROKKA_15212_CDS___hypothetical protein__
PROKKA_15213,CDS,,,hypothetical protein,,,7,20,7,6,,PROKKA_15213_CDS___hypothetical protein__
PROKKA_15214,CDS,,,hypothetical protein,,,54,71,16,36,,PROKKA_15214_CDS___hypothetical protein__
PROKKA_15215,CDS,,,4-hydroxybenzoate polyprenyltransferase,BROSI_A3261,,36,58,16,21,,PROKKA_15215_CDS___4-hydroxybenzoate polyprenyltransferase_BROSI_A3261_
PROKKA_15216,CDS,,,hypothetical protein,,,17,18,7,12,,PROKKA_15216_CDS___hypothetical protein__
PROKKA_15217,CDS,,,hypothetical protein,,,15,23,24,20,,PROKKA_15217_CDS___hypothetical protein__
PROKKA_15218,CDS,omcB_2,,Large cysteine-rich periplasmic protein OmcB,,,1956,3852,1063,796,,PROKKA_15218_CDS_omcB_2__Large cysteine-rich periplasmic protein OmcB__
PROKKA_15219,CDS,,,hypothetical protein,,,93,156,25,32,,PROKKA_15219_CDS___hypothetical protein__
PROKKA_15220,CDS,,,phosphoglucomutase/phosphomannomutase alpha/beta /alpha domain I,BROSI_A2983,,561,904,128,178,,PROKKA_15220_CDS___phosphoglucomutase/phosphomannomutase alpha/beta /alpha domain I_BROSI_A2983_
PROKKA_15221,CDS,,,ferredoxin 2Fe-2S,BROSI_A2985,,287,396,31,85,,PROKKA_15221_CDS___ferredoxin 2Fe-2S_BROSI_A2985_
PROKKA_15222,CDS,,,cytochrome c class II,BROSI_A2986,,751,1236,40,83,,PROKKA_15222_CDS___cytochrome c class II_BROSI_A2986_
PROKKA_15223,CDS,,,heme protein small subunit,BROSI_A2987,,3064,4593,470,805,,PROKKA_15223_CDS___heme protein small subunit_BROSI_A2987_
PROKKA_15224,CDS,,,isochorismatase hydrolase,BROSI_A2988,,109,229,21,43,,PROKKA_15224_CDS___isochorismatase hydrolase_BROSI_A2988_
PROKKA_15225,CDS,,,beta-lactamase domain-containing protein,BROSI_A2989,,120,195,42,57,,PROKKA_15225_CDS___beta-lactamase domain-containing protein_BROSI_A2989_
PROKKA_15226,CDS,,,hypothetical protein,,,28,19,14,32,,PROKKA_15226_CDS___hypothetical protein__
PROKKA_15227,CDS,,,hypothetical protein,,,4,3,4,8,,PROKKA_15227_CDS___hypothetical protein__
PROKKA_15228,CDS,,,hypothetical protein,,,35,27,25,35,,PROKKA_15228_CDS___hypothetical protein__
PROKKA_15229,CDS,,,putative histidine kinase,BROSI_A2401,,119,217,17,45,,PROKKA_15229_CDS___putative histidine kinase_BROSI_A2401_
PROKKA_15230,CDS,,,guanine deaminase,BROSI_A0564,,156,323,25,34,,PROKKA_15230_CDS___guanine deaminase_BROSI_A0564_
PROKKA_15231,CDS,,,hydroxylamine oxidoreductase,BROSI_A3534,,507,907,94,114,,PROKKA_15231_CDS___hydroxylamine oxidoreductase_BROSI_A3534_
PROKKA_15232,CDS,,,phosphodiesterase with PAS/PAC sensor,BROSI_A3427,,546,960,87,152,,PROKKA_15232_CDS___phosphodiesterase with PAS/PAC sensor_BROSI_A3427_
PROKKA_15233,CDS,,,rubredoxin-oxygen oxidoreductase,BROSI_A3434,,494,699,165,379,,PROKKA_15233_CDS___rubredoxin-oxygen oxidoreductase_BROSI_A3434_
PROKKA_15234,CDS,,,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,BROSI_A2978,,76,115,13,17,,PROKKA_15234_CDS___2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase_BROSI_A2978_
PROKKA_15235,CDS,,,deoxyguanosinetriphosphate triphosphohydrolase,SCALIN_C27_0178,,255,427,45,80,,PROKKA_15235_CDS___deoxyguanosinetriphosphate triphosphohydrolase_SCALIN_C27_0178_
PROKKA_15236,CDS,,,hypothetical protein,,,129,270,21,47,,PROKKA_15236_CDS___hypothetical protein__
PROKKA_15237,CDS,,,hypothetical protein,,,50,95,105,408,,PROKKA_15237_CDS___hypothetical protein__
PROKKA_15238,CDS,,,acetoin utilization protein,BROSI_A0957,,222,397,54,103,,PROKKA_15238_CDS___acetoin utilization protein_BROSI_A0957_
PROKKA_15239,CDS,,,metalloendopeptidase,SCALIN_C27_0176,,301,648,103,245,,PROKKA_15239_CDS___metalloendopeptidase_SCALIN_C27_0176_
PROKKA_15240,CDS,,,hypothetical protein,,,10,6,2,7,,PROKKA_15240_CDS___hypothetical protein__
PROKKA_15241,CDS,,,folylpolyglutamate synthase,BROSI_A1853,,168,274,105,102,,PROKKA_15241_CDS___folylpolyglutamate synthase_BROSI_A1853_
PROKKA_15242,tRNA,,,tRNA-Leu(caa),,,24,37,7,23,,PROKKA_15242_tRNA___tRNA-Leu(caa)__
PROKKA_15243,CDS,,,hypothetical protein,,,522,938,131,227,,PROKKA_15243_CDS___hypothetical protein__
PROKKA_15244,CDS,,,succinate dehydrogenase flavoprotein subunit A,BROSI_A1855,,188,320,95,81,,PROKKA_15244_CDS___succinate dehydrogenase flavoprotein subunit A_BROSI_A1855_
PROKKA_15245,CDS,,,signal transduction histidine kinase,BROSI_A1854,,330,545,61,71,,PROKKA_15245_CDS___signal transduction histidine kinase_BROSI_A1854_
PROKKA_15246,CDS,,,argininosuccinate synthetase,BROSI_A1475,,267,426,59,46,,PROKKA_15246_CDS___argininosuccinate synthetase_BROSI_A1475_
PROKKA_15247,CDS,,,Fe-S oxidoreductase,SCALIN_C03_0118,,509,829,99,147,,PROKKA_15247_CDS___Fe-S oxidoreductase_SCALIN_C03_0118_
PROKKA_15248,CDS,,,glutamate 5-kinase,BROSI_A2295,,293,585,75,126,,PROKKA_15248_CDS___glutamate 5-kinase_BROSI_A2295_
PROKKA_15249,CDS,,,DinB family protein,BROSI_A2293,,400,748,76,73,,PROKKA_15249_CDS___DinB family protein_BROSI_A2293_
PROKKA_15250,CDS,,,hydrolase of the alpha/beta superfamily,SCALIN_C01_0250,,103,227,31,27,,PROKKA_15250_CDS___hydrolase of the alpha/beta superfamily_SCALIN_C01_0250_
PROKKA_15251,CDS,,,dehydrogenases,BROSI_A3749,,385,648,316,315,,PROKKA_15251_CDS___dehydrogenases_BROSI_A3749_
PROKKA_15252,CDS,,,hypothetical protein,,,63,120,27,48,,PROKKA_15252_CDS___hypothetical protein__
PROKKA_15253,CDS,,,"formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit",SCALIN_C01_0230,,105,177,19,38,,"PROKKA_15253_CDS___formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit_SCALIN_C01_0230_"
PROKKA_15254,CDS,,,hypothetical protein,,,58,90,25,29,,PROKKA_15254_CDS___hypothetical protein__
PROKKA_15255,CDS,,,4-aminobutyrate aminotransferase,BROSI_A0433,,109,216,32,41,,PROKKA_15255_CDS___4-aminobutyrate aminotransferase_BROSI_A0433_
PROKKA_15256,CDS,,,peptidase family U32,BROSI_A0432,,181,306,39,61,,PROKKA_15256_CDS___peptidase family U32_BROSI_A0432_
PROKKA_15257,CDS,,,hypothetical protein,,,172,307,28,27,,PROKKA_15257_CDS___hypothetical protein__
PROKKA_15258,CDS,,,hypothetical protein,,,39,36,10,25,,PROKKA_15258_CDS___hypothetical protein__
PROKKA_15259,CDS,,,hypothetical protein,,,19,24,4,2,,PROKKA_15259_CDS___hypothetical protein__
PROKKA_15260,CDS,,,exporters of the RND superfamily,SCALIN_C01_0222,,234,417,93,157,,PROKKA_15260_CDS___exporters of the RND superfamily_SCALIN_C01_0222_
PROKKA_15261,CDS,,,cytochrome c family protein,BROSI_A1925,,99,180,27,53,,PROKKA_15261_CDS___cytochrome c family protein_BROSI_A1925_
PROKKA_15262,CDS,,,hypothetical protein,,,147,236,64,80,,PROKKA_15262_CDS___hypothetical protein__
PROKKA_15263,CDS,,,hypothetical protein,,,38,75,1,9,,PROKKA_15263_CDS___hypothetical protein__
PROKKA_15264,CDS,,,sterol carrier protein,BROSI_A0424,,115,190,7,9,,PROKKA_15264_CDS___sterol carrier protein_BROSI_A0424_
PROKKA_15265,CDS,,,sulfolipid biosynthesis protein,BROSI_A3308,,326,503,42,60,,PROKKA_15265_CDS___sulfolipid biosynthesis protein_BROSI_A3308_
PROKKA_15266,CDS,,,glycosyltransferase family 2 protein,BROSI_A0419,,54,68,41,67,,PROKKA_15266_CDS___glycosyltransferase family 2 protein_BROSI_A0419_
PROKKA_15267,CDS,,,sigma 54 response regulatory protein,BROSI_A0418,,313,577,182,252,,PROKKA_15267_CDS___sigma 54 response regulatory protein_BROSI_A0418_
PROKKA_15268,CDS,,,two component sensor histidine kinase,BROSI_A0417,,96,170,43,92,,PROKKA_15268_CDS___two component sensor histidine kinase_BROSI_A0417_
PROKKA_15269,CDS,,,hypothetical protein,,,61,96,35,47,,PROKKA_15269_CDS___hypothetical protein__
PROKKA_15270,CDS,,,hypothetical protein,,,90,144,22,27,,PROKKA_15270_CDS___hypothetical protein__
PROKKA_15272,CDS,,,integral membrane protein,SCALIN_C05_0040,cell shape determination,163,239,10,18,,PROKKA_15272_CDS___integral membrane protein_SCALIN_C05_0040_cell shape determination
PROKKA_15273,CDS,,,integral membrane protein,BROSI_A3850,cell shape determination,93,77,6,20,,PROKKA_15273_CDS___integral membrane protein_BROSI_A3850_cell shape determination
PROKKA_15274,CDS,,,hypothetical protein,,,383,658,173,354,,PROKKA_15274_CDS___hypothetical protein__
PROKKA_15275,CDS,vsr_1,3.1.-.-,Very short patch repair protein,,,53,122,25,41,,PROKKA_15275_CDS_vsr_1_3.1.-.-_Very short patch repair protein__
PROKKA_15276,CDS,haeIIIM_2,2.1.1.37,Modification methylase HaeIII,,,69,152,28,55,,PROKKA_15276_CDS_haeIIIM_2_2.1.1.37_Modification methylase HaeIII__
PROKKA_15278,CDS,,,HNH endonuclease,BROSI_A1373,,70,141,13,30,,PROKKA_15278_CDS___HNH endonuclease_BROSI_A1373_
PROKKA_15279,CDS,,,glucosamine 6-phosphate synthetase,SCALIN_C24_0048,,251,490,139,152,,PROKKA_15279_CDS___glucosamine 6-phosphate synthetase_SCALIN_C24_0048_
PROKKA_15280,CDS,,,transcriptional regulator of ParA family,BROSI_A3467,,116,180,18,41,,PROKKA_15280_CDS___transcriptional regulator of ParA family_BROSI_A3467_
PROKKA_15281,CDS,,,hypothetical protein,,,150,243,22,43,,PROKKA_15281_CDS___hypothetical protein__
PROKKA_15282,CDS,,,hosphoglycerate mutase,BROSI_A2977,,801,1325,224,234,,PROKKA_15282_CDS___hosphoglycerate mutase_BROSI_A2977_
PROKKA_15283,CDS,,,hypothetical protein,,,67,83,17,42,,PROKKA_15283_CDS___hypothetical protein__
PROKKA_15284,CDS,,,endoribonuclease,SCALIN_C04_0173,,58,89,56,77,,PROKKA_15284_CDS___endoribonuclease_SCALIN_C04_0173_
PROKKA_15285,CDS,,,dynamin family protein,BROSI_A3031,,1587,3237,1576,939,,PROKKA_15285_CDS___dynamin family protein_BROSI_A3031_
PROKKA_15286,CDS,,,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",BROSI_A3029,,308,451,118,111,,"PROKKA_15286_CDS___2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase_BROSI_A3029_"
PROKKA_15287,CDS,,,hypothetical protein,,,631,1103,195,214,,PROKKA_15287_CDS___hypothetical protein__
PROKKA_15288,CDS,,,seryl-tRNA synthetase,BROSI_A3027,,1355,2264,466,666,,PROKKA_15288_CDS___seryl-tRNA synthetase_BROSI_A3027_
PROKKA_15289,CDS,,,hypothetical protein,,,28,35,16,18,,PROKKA_15289_CDS___hypothetical protein__
PROKKA_15290,CDS,,,hypothetical protein,,,410,698,30,85,,PROKKA_15290_CDS___hypothetical protein__
PROKKA_15291,CDS,,,UDP-glucose 6-dehydrogenase,BROSI_A3063,,201,326,20,19,,PROKKA_15291_CDS___UDP-glucose 6-dehydrogenase_BROSI_A3063_
PROKKA_15292,CDS,,,phosphatidylethanolamine N-methyltransferase,BROSI_A3062,,227,375,10,25,,PROKKA_15292_CDS___phosphatidylethanolamine N-methyltransferase_BROSI_A3062_
PROKKA_15293,CDS,,,D-alanyl-D-alanine carboxypeptidase / D-alanyl-D-alanine-endopeptidase,BROSI_A3061,,557,1017,58,47,,PROKKA_15293_CDS___D-alanyl-D-alanine carboxypeptidase / D-alanyl-D-alanine-endopeptidase_BROSI_A3061_
PROKKA_15294,CDS,,,sigma-54 dependent DNA-binding response regulator,BROSI_A3060,,75,205,5,11,,PROKKA_15294_CDS___sigma-54 dependent DNA-binding response regulator_BROSI_A3060_
PROKKA_15295,CDS,,,SsrA-binding protein,BROSI_A3059,,150,243,3,16,,PROKKA_15295_CDS___SsrA-binding protein_BROSI_A3059_
PROKKA_15296,tRNA,,,tRNA-Leu(cag),,,97,187,55,43,,PROKKA_15296_tRNA___tRNA-Leu(cag)__
PROKKA_15297,CDS,,,hypothetical protein,,,120,197,71,105,,PROKKA_15297_CDS___hypothetical protein__
PROKKA_15298,CDS,,,hypothetical protein,,,22,20,4,10,,PROKKA_15298_CDS___hypothetical protein__
PROKKA_15299,CDS,,,hypothetical protein,,,65,100,7,22,,PROKKA_15299_CDS___hypothetical protein__
PROKKA_15302,CDS,,,hypothetical protein,,,86,129,31,49,,PROKKA_15302_CDS___hypothetical protein__
PROKKA_15303,CDS,,,hypothetical protein,,,423,622,135,153,,PROKKA_15303_CDS___hypothetical protein__
PROKKA_15304,CDS,,,hypothetical protein,,,987,1931,538,750,,PROKKA_15304_CDS___hypothetical protein__
PROKKA_15305,CDS,,,hypothetical protein,,,23,53,6,9,,PROKKA_15305_CDS___hypothetical protein__
PROKKA_15306,CDS,,,hypothetical protein,,,69,128,18,19,,PROKKA_15306_CDS___hypothetical protein__
PROKKA_15307,CDS,,,protein contains FOG: CBS domain,BROSI_A2494,,82,113,21,41,,PROKKA_15307_CDS___protein contains FOG: CBS domain_BROSI_A2494_
PROKKA_15308,CDS,,,hypothetical protein,,,102,142,29,45,,PROKKA_15308_CDS___hypothetical protein__
PROKKA_15309,CDS,,,radical SAM superfamily protein,BROSI_A2489,,1212,2276,609,733,,PROKKA_15309_CDS___radical SAM superfamily protein_BROSI_A2489_
PROKKA_15310,CDS,,,hypothetical protein,,,132,203,26,66,,PROKKA_15310_CDS___hypothetical protein__
PROKKA_15311,CDS,,,hypothetical protein,,,18,15,4,7,,PROKKA_15311_CDS___hypothetical protein__
PROKKA_15312,CDS,,,hypothetical protein,,,79,48,13,48,,PROKKA_15312_CDS___hypothetical protein__
PROKKA_15313,CDS,,,M6 family metalloprotease domain protein,BROSI_A0402,,1834,2896,1281,1297,,PROKKA_15313_CDS___M6 family metalloprotease domain protein_BROSI_A0402_
PROKKA_15315,CDS,,,hypothetical protein,,,89,126,9,30,,PROKKA_15315_CDS___hypothetical protein__
PROKKA_15316,CDS,,,sigma 54 response regulator,BROSI_A2557,,109,185,35,61,,PROKKA_15316_CDS___sigma 54 response regulator_BROSI_A2557_
PROKKA_15317,CDS,,,hypothetical signal transduction protein,BROSI_A2558,,27,36,7,11,,PROKKA_15317_CDS___hypothetical signal transduction protein_BROSI_A2558_
PROKKA_15318,CDS,,,signal transduction histidine kinase,BROSI_A2559,,90,127,46,119,,PROKKA_15318_CDS___signal transduction histidine kinase_BROSI_A2559_
PROKKA_15320,CDS,,,multiple antibiotic transporter,BROSI_A2562,,39,48,33,37,,PROKKA_15320_CDS___multiple antibiotic transporter_BROSI_A2562_
PROKKA_15321,CDS,,,hypothetical protein,,,14,18,5,11,,PROKKA_15321_CDS___hypothetical protein__
PROKKA_15322,CDS,,,parvulin-like peptidyl-prolyl isomerase,BROSI_A2564,,253,368,67,140,,PROKKA_15322_CDS___parvulin-like peptidyl-prolyl isomerase_BROSI_A2564_
PROKKA_15323,CDS,,,hypothetical protein,,,208,296,20,49,,PROKKA_15323_CDS___hypothetical protein__
PROKKA_15324,CDS,,,periplasmic protease,SCALIN_C44_0013,,170,285,15,38,,PROKKA_15324_CDS___periplasmic protease_SCALIN_C44_0013_
PROKKA_15325,CDS,,,periplasmic protease,SCALIN_C44_0013,,81,145,22,39,,PROKKA_15325_CDS___periplasmic protease_SCALIN_C44_0013_
PROKKA_15326,CDS,,,radical SAM domain protein,BROSI_A2567,,378,596,44,86,,PROKKA_15326_CDS___radical SAM domain protein_BROSI_A2567_
PROKKA_15327,CDS,,,kef-type K+ transport systems membrane components,BROSI_A2568,,226,489,59,138,,PROKKA_15327_CDS___kef-type K+ transport systems membrane components_BROSI_A2568_
PROKKA_15328,CDS,,,hypothetical protein,,,152,304,35,90,,PROKKA_15328_CDS___hypothetical protein__
PROKKA_15329,CDS,,,corrinoid adenosyltransferase,BROSI_A2570,,117,213,52,100,,PROKKA_15329_CDS___corrinoid adenosyltransferase_BROSI_A2570_
PROKKA_15330,CDS,,,thymidylate synthase,BROSI_A2571,,697,1311,254,185,,PROKKA_15330_CDS___thymidylate synthase_BROSI_A2571_
PROKKA_15331,CDS,vpr_1,3.4.21.-,Minor extracellular protease vpr,,,305,526,83,100,,PROKKA_15331_CDS_vpr_1_3.4.21.-_Minor extracellular protease vpr__
PROKKA_15332,CDS,,,fructose-16-bisphosphatase I,BROSI_A2656,,126,245,42,58,,PROKKA_15332_CDS___fructose-16-bisphosphatase I_BROSI_A2656_
PROKKA_15333,CDS,,,amidohydrolase,BROSI_A2518,,747,1594,519,467,,PROKKA_15333_CDS___amidohydrolase_BROSI_A2518_
PROKKA_15334,CDS,,,hypothetical protein,,,79,159,41,99,,PROKKA_15334_CDS___hypothetical protein__
PROKKA_15335,CDS,,,metal-dependent hydrolases of the beta-lactamase superfamily I,SCALIN_C13_0236,,91,187,33,59,,PROKKA_15335_CDS___metal-dependent hydrolases of the beta-lactamase superfamily I_SCALIN_C13_0236_
PROKKA_15336,CDS,lpoB_1,,Penicillin-binding protein activator LpoB,,,80,78,12,39,,PROKKA_15336_CDS_lpoB_1__Penicillin-binding protein activator LpoB__
