scaffold	orf	hmm.id
108917	2	PF00276.15
24852	6	PF00276.15
10008	12	PF00276.15
4	893	PF00276.15
7628	5	PF00276.15
30582	1	PF00276.15
1826	5	PF00276.15
412	40	PF00276.15
11	79	PF00276.15
10	122	PF00276.15
42	192	PF00276.15
23499	1	PF00276.15
2354	5	PF00276.15
3652	10	PF00276.15
6088	6	PF00276.15
1384	27	PF00276.15
861	45	PF00276.15
420	10	PF00276.15
9078	8	PF00276.15
344	5	PF00276.15
1535	7	PF00276.15
344	15	PF00281.14
1826	15	PF00281.14
5731	15	PF00281.14
873	13	PF00281.14
10	132	PF00281.14
4541	9	PF00281.14
40311	5	PF00281.14
33203	7	PF00281.14
2354	15	PF00281.14
3266	16	PF00281.14
412	50	PF00281.14
7070	5	PF00281.14
2133	19	PF00281.14
324	32	PF00281.14
12335	9	PF00281.14
12189	2	PF00281.14
568	44	PF00281.14
6	574	PF00281.14
1356	15	PF00281.14
4179	13	PF00281.14
1614	28	PF00281.14
9326	8	PF00281.14
12728	7	PF00281.14
861	35	PF00281.14
906	11	PF00281.14
7203	13	PF00281.14
16427	9	PF00281.14
8	80	PF00281.14
2088	13	PF00281.14
1837	23	PF00281.14
138	87	PF00281.14
9425	1	PF00281.14
46	211	PF00281.14
482	51	PF00281.14
6809	4	PF00281.14
1535	17	PF00281.14
76	99	PF00281.14
262	64	PF00281.14
65	176	PF00281.14
1372	6	PF00281.14
10008	2	PF00281.14
4788	7	PF00281.14
48	194	PF00281.14
13154	9	PF00281.14
25650	3	PF00281.14
7632	1	PF00281.14
420	20	PF00281.14
27755	3	PF00281.14
4	883	PF00281.14
943	18	PF00281.14
1384	17	PF00281.14
3	1036	PF00281.14
11	89	PF00281.14
882	27	PF00281.14
130130	2	PF00281.14
42	202	PF00281.14
70921	4	PF00281.14
1	660	PF00281.14
46	199	PF00297.17
7632	13	PF00297.17
324	20	PF00297.17
2354	3	PF00297.17
138	99	PF00297.17
6	562	PF00297.17
262	52	PF00297.17
568	32	PF00297.17
65	188	PF00297.17
873	25	PF00297.17
2133	31	PF00297.17
13771	8	PF00297.17
3266	4	PF00297.17
1614	16	PF00297.17
76	87	PF00297.17
1880	8	PF00297.17
74172	2	PF00297.17
4788	19	PF00297.17
1356	3	PF00297.17
30582	3	PF00297.17
420	8	PF00297.17
8	92	PF00297.17
1826	3	PF00297.17
5731	3	PF00297.17
1384	29	PF00297.17
22040	4	PF00297.17
10	120	PF00297.17
23499	3	PF00297.17
412	38	PF00297.17
7628	3	PF00297.17
943	6	PF00297.17
7250	2	PF00297.17
25929	3	PF00297.17
20234	3	PF00297.17
5694	3	PF00297.17
1	672	PF00297.17
6809	16	PF00297.17
906	23	PF00297.17
482	63	PF00297.17
11	77	PF00297.17
861	47	PF00297.17
344	3	PF00297.17
5654	6	PF00297.17
1372	18	PF00297.17
6088	4	PF00297.17
42	190	PF00297.17
48	206	PF00297.17
1535	5	PF00297.17
51808	4	PF00297.17
3652	8	PF00297.17
3	1048	PF00297.17
4	895	PF00297.17
129910	2	PF00297.17
9078	6	PF00297.17
27164	4	PF00297.17
882	15	PF00297.17
9425	13	PF00297.17
108482	1	PF00297.17
4179	1	PF00297.17
91668	3	PF00297.17
65	173	PF00347.18
2354	18	PF00347.18
2133	16	PF00347.18
5731	18	PF00347.18
3266	19	PF00347.18
6	577	PF00347.18
324	34	PF00347.18
9326	5	PF00347.18
10	134	PF00347.18
861	32	PF00347.18
906	8	PF00347.18
412	53	PF00347.18
4788	4	PF00347.18
943	21	PF00347.18
568	47	PF00347.18
1826	17	PF00347.18
7203	15	PF00347.18
39887	5	PF00347.18
262	67	PF00347.18
7070	2	PF00347.18
1372	3	PF00347.18
2088	16	PF00347.18
54711	2	PF00347.18
21384	5	PF00347.18
1837	20	PF00347.18
4179	16	PF00347.18
49617	3	PF00347.18
873	10	PF00347.18
482	48	PF00347.18
12728	4	PF00347.18
420	23	PF00347.18
882	29	PF00347.18
344	18	PF00347.18
1356	18	PF00347.18
8236	3	PF00347.18
12189	4	PF00347.18
138	85	PF00347.18
3	1034	PF00347.18
40311	2	PF00347.18
76	101	PF00347.18
1384	14	PF00347.18
112158	3	PF00347.18
46	213	PF00347.18
25650	1	PF00347.18
1	657	PF00347.18
4	880	PF00347.18
42	205	PF00347.18
56384	3	PF00347.18
3088	2	PF00347.18
48	191	PF00347.18
11	91	PF00347.18
11365	8	PF00347.18
4541	12	PF00347.18
1535	20	PF00347.18
70921	1	PF00347.18
27755	1	PF00347.18
1614	30	PF00347.18
8	78	PF00347.18
1911	22	PF00347.18
11663	9	PF00347.18
132233	1	PF00347.18
82868	4	PF00347.18
9882	11	PF00347.18
6	571	PF00366.15
33203	4	PF00366.15
84891	2	PF00366.15
10	129	PF00366.15
12728	10	PF00366.15
9425	4	PF00366.15
568	41	PF00366.15
1837	26	PF00366.15
262	61	PF00366.15
7070	8	PF00366.15
25650	6	PF00366.15
28499	5	PF00366.15
943	15	PF00366.15
412	47	PF00366.15
1614	25	PF00366.15
3266	13	PF00366.15
2088	10	PF00366.15
76	96	PF00366.15
7203	11	PF00366.15
8	83	PF00366.15
138	90	PF00366.15
324	29	PF00366.15
56179	3	PF00366.15
7632	4	PF00366.15
482	54	PF00366.15
6809	7	PF00366.15
2133	22	PF00366.15
7628	12	PF00366.15
16427	6	PF00366.15
12335	6	PF00366.15
30259	7	PF00366.15
2354	12	PF00366.15
4179	10	PF00366.15
48	197	PF00366.15
9326	11	PF00366.15
1535	14	PF00366.15
65	179	PF00366.15
861	38	PF00366.15
10008	5	PF00366.15
46	208	PF00366.15
4	886	PF00366.15
4788	10	PF00366.15
5731	12	PF00366.15
37848	3	PF00366.15
1372	9	PF00366.15
1	663	PF00366.15
3	1039	PF00366.15
27755	6	PF00366.15
906	14	PF00366.15
1356	12	PF00366.15
873	16	PF00366.15
11	86	PF00366.15
98021	2	PF00366.15
1826	12	PF00366.15
13154	6	PF00366.15
1384	20	PF00366.15
344	12	PF00366.15
4541	6	PF00366.15
42	199	PF00366.15
420	17	PF00366.15
46800	4	PF00366.15
882	24	PF00366.15
9831	3	PF00380.14
83	19	PF00380.14
2	28	PF00380.14
64677	2	PF00380.14
332	40	PF00380.14
22745	2	PF00380.14
1656	9	PF00380.14
2057	11	PF00380.14
6	435	PF00380.14
1667	10	PF00380.14
1659	3	PF00380.14
8481	6	PF00380.14
1816	4	PF00380.14
38	221	PF00380.14
11	124	PF00380.14
81464	2	PF00380.14
486	11	PF00380.14
2254	9	PF00380.14
999	31	PF00380.14
3143	9	PF00380.14
16785	3	PF00380.14
2275	6	PF00380.14
13335	4	PF00380.14
152	75	PF00380.14
60224	2	PF00380.14
8667	2	PF00380.14
1163	3	PF00380.14
624	3	PF00380.14
32438	2	PF00380.14
6247	3	PF00380.14
14	310	PF00380.14
15777	1	PF00380.14
4	376	PF00380.14
21737	3	PF00380.14
4602	15	PF00380.14
15399	3	PF00380.14
3088	14	PF00380.14
9	71	PF00380.14
65	151	PF00380.14
19871	4	PF00380.14
3693	4	PF00380.14
420	35	PF00380.14
2076	7	PF00380.14
16321	2	PF00380.14
3	530	PF00380.14
1826	33	PF00380.14
1	1552	PF00380.14
344	34	PF00380.14
64	20	PF00380.14
882	44	PF00380.14
2540	11	PF00380.14
861	18	PF00380.14
27468	4	PF00380.14
48468	3	PF00380.14
4069	13	PF00380.14
7347	1	PF00380.14
98400	1	PF00380.14
4868	7	PF00380.14
1614	29	PF00410.14
40311	3	PF00410.14
1356	17	PF00410.14
65	174	PF00410.14
12189	3	PF00410.14
12335	11	PF00410.14
568	46	PF00410.14
2133	17	PF00410.14
3266	18	PF00410.14
5731	17	PF00410.14
2088	15	PF00410.14
873	11	PF00410.14
4788	5	PF00410.14
943	20	PF00410.14
21384	6	PF00410.14
2354	17	PF00410.14
82868	3	PF00410.14
482	49	PF00410.14
7070	3	PF00410.14
6809	2	PF00410.14
861	33	PF00410.14
10	133	PF00410.14
9326	6	PF00410.14
49617	4	PF00410.14
56384	2	PF00410.14
8236	2	PF00410.14
25650	2	PF00410.14
1837	21	PF00410.14
1384	15	PF00410.14
324	33	PF00410.14
262	66	PF00410.14
344	17	PF00410.14
4	881	PF00410.14
1826	16	PF00410.14
8	79	PF00410.14
27755	2	PF00410.14
138	86	PF00410.14
132233	2	PF00410.14
1535	19	PF00410.14
412	52	PF00410.14
4541	11	PF00410.14
76	100	PF00410.14
70921	2	PF00410.14
48	192	PF00410.14
6	576	PF00410.14
1372	4	PF00410.14
12728	5	PF00410.14
3	1035	PF00410.14
4179	15	PF00410.14
46	212	PF00410.14
420	22	PF00410.14
1	658	PF00410.14
7203	14	PF00410.14
11	90	PF00410.14
54711	3	PF00410.14
42	204	PF00410.14
882	28	PF00410.14
906	9	PF00410.14
3088	1	PF00410.14
13154	11	PF00410.14
11365	9	PF00410.14
122713	1	PF00410.14
9247	7	PF00411.14
482	41	PF00411.14
5090	7	PF00411.14
1667	19	PF00411.14
8	69	PF00411.14
9356	4	PF00411.14
10	144	PF00411.14
3693	9	PF00411.14
1837	12	PF00411.14
568	56	PF00411.14
10670	7	PF00411.14
75349	1	PF00411.14
2133	6	PF00411.14
19760	1	PF00411.14
861	24	PF00411.14
2540	5	PF00411.14
412	62	PF00411.14
5220	7	PF00411.14
15470	3	PF00411.14
1826	27	PF00411.14
344	28	PF00411.14
6	585	PF00411.14
1356	27	PF00411.14
9882	3	PF00411.14
8236	11	PF00411.14
2354	27	PF00411.14
46	224	PF00411.14
11663	2	PF00411.14
2076	2	PF00411.14
8586	3	PF00411.14
324	45	PF00411.14
76	111	PF00411.14
32656	2	PF00411.14
16817	4	PF00411.14
303	41	PF00411.14
4117	4	PF00411.14
7319	8	PF00411.14
48147	2	PF00411.14
1911	14	PF00411.14
65	160	PF00411.14
1384	8	PF00411.14
2088	25	PF00411.14
20639	4	PF00411.14
48	184	PF00411.14
138	74	PF00411.14
1535	27	PF00411.14
3088	9	PF00411.14
943	31	PF00411.14
14174	1	PF00411.14
42	213	PF00411.14
3	525	PF00411.14
4	371	PF00411.14
882	39	PF00411.14
1	650	PF00411.14
4602	10	PF00411.14
262	78	PF00411.14
420	30	PF00411.14
11958	7	PF00411.14
63936	3	PF00411.14
33618	3	PF00411.14
4	370	PF00416.17
75349	2	PF00416.17
11663	3	PF00416.17
324	44	PF00416.17
2133	7	PF00416.17
9882	4	PF00416.17
861	25	PF00416.17
1667	20	PF00416.17
568	55	PF00416.17
5220	6	PF00416.17
1384	9	PF00416.17
34561	4	PF00416.17
1356	26	PF00416.17
4541	20	PF00416.17
1837	13	PF00416.17
49476	1	PF00416.17
420	29	PF00416.17
7319	7	PF00416.17
2088	24	PF00416.17
4117	3	PF00416.17
8236	10	PF00416.17
2540	4	PF00416.17
6	584	PF00416.17
76	109	PF00416.17
303	40	PF00416.17
15470	4	PF00416.17
482	42	PF00416.17
32656	3	PF00416.17
1911	15	PF00416.17
5090	8	PF00416.17
48	185	PF00416.17
19760	2	PF00416.17
46	222	PF00416.17
262	77	PF00416.17
2354	26	PF00416.17
412	61	PF00416.17
8586	4	PF00416.17
3088	8	PF00416.17
65	161	PF00416.17
42	212	PF00416.17
10670	8	PF00416.17
10	143	PF00416.17
1535	26	PF00416.17
1	651	PF00416.17
943	30	PF00416.17
1826	26	PF00416.17
344	27	PF00416.17
3693	10	PF00416.17
3	524	PF00416.17
138	76	PF00416.17
4602	9	PF00416.17
8	70	PF00416.17
9356	5	PF00416.17
882	38	PF00416.17
16817	3	PF00416.17
20639	5	PF00416.17
10628	1	PF00416.17
873	1	PF00416.17
3093	8	PF00416.17
906	32	PF00466.15
568	23	PF00466.15
412	29	PF00466.15
64868	2	PF00466.15
2348	8	PF00466.15
18078	2	PF00466.15
13813	4	PF00466.15
3286	3	PF00466.15
3745	3	PF00466.15
2846	6	PF00466.15
33	76	PF00466.15
8881	6	PF00466.15
1372	29	PF00466.15
13382	6	PF00466.15
56068	3	PF00466.15
65	206	PF00466.15
20787	3	PF00466.15
3736	4	PF00466.15
8	100	PF00466.15
6	553	PF00466.15
7748	3	PF00466.15
1689	19	PF00466.15
8444	2	PF00466.15
13289	4	PF00466.15
324	11	PF00466.15
262	43	PF00466.15
8754	8	PF00466.15
34385	4	PF00466.15
3	813	PF00466.15
8267	6	PF00466.15
5166	3	PF00466.15
40681	2	PF00466.15
5462	3	PF00466.15
28602	3	PF00466.15
4247	7	PF00466.15
6110	3	PF00466.15
535	22	PF00466.15
2166	7	PF00466.15
18571	3	PF00466.15
3733	4	PF00466.15
138	108	PF00466.15
420	62	PF00466.15
1803	19	PF00466.15
6401	7	PF00466.15
765	42	PF00466.15
12658	1	PF00466.15
6741	5	PF00466.15
48	214	PF00466.15
1594	20	PF00466.15
4	188	PF00466.15
7	162	PF00466.15
46	190	PF00466.15
76	78	PF00466.15
22	224	PF00466.15
1329	26	PF00466.15
1	2136	PF00466.15
22585	4	PF00466.15
4221	6	PF00466.15
43614	1	PF00466.15
2840	1	PF00466.15
3488	8	PF00466.15
5496	5	PF00466.15
9425	12	PF00573.17
568	33	PF00573.17
76	88	PF00573.17
65	187	PF00573.17
6	563	PF00573.17
4788	18	PF00573.17
6809	15	PF00573.17
1614	17	PF00573.17
482	62	PF00573.17
324	21	PF00573.17
943	7	PF00573.17
3266	5	PF00573.17
7632	12	PF00573.17
4179	2	PF00573.17
2133	30	PF00573.17
46	200	PF00573.17
30582	2	PF00573.17
882	16	PF00573.17
412	39	PF00573.17
262	53	PF00573.17
2354	4	PF00573.17
861	46	PF00573.17
5694	2	PF00573.17
25929	4	PF00573.17
1356	4	PF00573.17
8	91	PF00573.17
4	894	PF00573.17
1372	17	PF00573.17
7628	4	PF00573.17
10	121	PF00573.17
5731	4	PF00573.17
5654	5	PF00573.17
906	22	PF00573.17
91668	2	PF00573.17
3	1047	PF00573.17
23499	2	PF00573.17
16506	6	PF00573.17
51808	3	PF00573.17
13771	7	PF00573.17
6088	5	PF00573.17
1826	4	PF00573.17
48	205	PF00573.17
55727	1	PF00573.17
420	9	PF00573.17
344	4	PF00573.17
138	98	PF00573.17
7203	3	PF00573.17
71302	3	PF00573.17
1384	28	PF00573.17
11	78	PF00573.17
9078	7	PF00573.17
873	24	PF00573.17
1535	6	PF00573.17
42	191	PF00573.17
3652	9	PF00573.17
1	671	PF00573.17
7070	16	PF00573.17
108917	1	PF00573.17
32026	3	PF00573.17
7250	1	PF00573.17
74172	1	PF00573.17
33319	6	PF00573.17
28649	6	PF00573.17
19585	2	PF00750.14
1199	10	PF00750.14
17074	2	PF00750.14
17064	1	PF00750.14
227	99	PF00750.14
19	197	PF00750.14
1031	9	PF00750.14
22	176	PF00750.14
339	17	PF00750.14
185	44	PF00750.14
27	74	PF00750.14
1	2981	PF00750.14
1480	5	PF00750.14
83277	1	PF00750.14
75	154	PF00750.14
497	43	PF00750.14
25990	2	PF00750.14
37899	1	PF00750.14
25	135	PF00750.14
1900	3	PF00750.14
432	38	PF00750.14
133	93	PF00750.14
5855	4	PF00750.14
10687	2	PF00750.14
5796	5	PF00750.14
32631	2	PF00750.14
2576	2	PF00750.14
35	82	PF00750.14
802	13	PF00750.14
1575	10	PF00750.14
33389	1	PF00750.14
32611	1	PF00750.14
428	37	PF00750.14
10177	5	PF00750.14
4151	7	PF00750.14
2	597	PF00750.14
2742	5	PF00750.14
1732	9	PF00750.14
1240	11	PF00750.14
2641	2	PF00750.14
83	162	PF00750.14
144	38	PF00750.14
323	62	PF00750.14
52345	1	PF00750.14
3	116	PF00750.14
669	11	PF00750.14
5879	1	PF00750.14
128188	1	PF00750.14
4	420	PF00750.14
110324	1	PF00750.14
3054	12	PF00750.14
40068	1	PF00750.14
129451	1	PF00750.14
72471	2	PF00750.14
26019	1	PF00750.14
10166	5	PF00750.14
16582	1	PF00750.14
4717	10	PF00750.14
66	188	PF00750.14
14233	1	PF00750.14
318	12	PF00750.14
111	27	PF00750.14
128	40	PF00750.14
19	249	PF00750.14
4696	8	PF01025.14
10038	4	PF01025.14
170	23	PF01025.14
3308	5	PF01025.14
59	160	PF01025.14
2092	11	PF01025.14
12410	4	PF01025.14
1511	15	PF01025.14
7814	3	PF01025.14
17635	3	PF01025.14
34	267	PF01025.14
108	26	PF01025.14
264	64	PF01025.14
89784	2	PF01025.14
39734	1	PF01025.14
39788	1	PF01025.14
2548	2	PF01025.14
1942	4	PF01025.14
1855	10	PF01025.14
1938	12	PF01025.14
139	52	PF01025.14
2988	2	PF01025.14
5550	3	PF01025.14
2654	6	PF01025.14
3781	8	PF01025.14
57	11	PF01025.14
12752	1	PF01025.14
41904	2	PF01025.14
1370	7	PF01025.14
714	12	PF01025.14
38	7	PF01025.14
989	20	PF01025.14
273	52	PF01025.14
640	30	PF01025.14
2	1377	PF01025.14
905	18	PF01025.14
51901	2	PF01025.14
565	14	PF01025.14
144	15	PF01025.14
2306	6	PF01025.14
6318	6	PF01025.14
1350	12	PF01025.14
7	417	PF01025.14
13839	2	PF01025.14
780	8	PF01025.14
327	24	PF01025.14
1	2793	PF01025.14
1088	21	PF01025.14
3840	10	PF01025.14
4	223	PF01025.14
13894	2	PF01025.14
3	735	PF01025.14
11289	4	PF01025.14
741	31	PF01025.14
4103	12	PF01025.14
18088	3	PF01025.14
1775	14	PF01025.14
129921	2	PF01025.14
1371	20	PF01025.14
2438	1	PF01025.14
1716	16	PF01025.14
3186	1	PF01025.14
5436	10	PF01025.14
1149	8	PF01025.14
6128	4	PF01795.14
12	46	PF01795.14
28651	2	PF01795.14
7513	5	PF01795.14
13797	4	PF01795.14
5360	6	PF01795.14
123	38	PF01795.14
358	27	PF01795.14
1983	10	PF01795.14
1955	14	PF01795.14
136	97	PF01795.14
2458	8	PF01795.14
2	1060	PF01795.14
4145	2	PF01795.14
6261	5	PF01795.14
25771	3	PF01795.14
13	128	PF01795.14
92	67	PF01795.14
46	131	PF01795.14
15330	3	PF01795.14
16380	3	PF01795.14
619	27	PF01795.14
2733	4	PF01795.14
3	438	PF01795.14
12766	3	PF01795.14
4041	4	PF01795.14
1642	5	PF01795.14
29	183	PF01795.14
476	7	PF01795.14
277	39	PF01795.14
851	6	PF01795.14
1617	4	PF01795.14
2059	2	PF01795.14
4463	5	PF01795.14
4	626	PF01795.14
95080	2	PF01795.14
2591	7	PF01795.14
1760	4	PF01795.14
8	699	PF01795.14
623	37	PF01795.14
18620	4	PF01795.14
48	176	PF01795.14
77926	1	PF01795.14
531	14	PF01795.14
3210	9	PF01795.14
29208	3	PF01795.14
5571	5	PF01795.14
123968	2	PF01795.14
27788	1	PF01795.14
10709	4	PF01795.14
1	2987	PF01795.14
6504	2	PF01795.14
109	113	PF01795.14
11860	3	PF01795.14
7	444	PF01795.14
91911	3	PF01795.14
124737	2	PF01795.14
8620	1	PF01795.14
2846	1	PF01795.14
24749	1	PF01795.14
70770	3	PF01795.14
22935	4	PF01795.14
35488	1	PF01795.14
1336	20	PF01795.14
87206	1	PF01795.14
63664	3	PF01795.14
4720	1	PF01795.14
40442	3	PF01795.14
2009	8	PF01795.14
2227	1	PF01795.14
4890	3	PF01795.14
1744	2	PF01795.14
2098	4	PF01795.14
564	40	PF01795.14
18424	4	PF01795.14
113	99	PF01795.14
2034	7	TIGR00001
96200	2	TIGR00001
446	48	TIGR00001
40640	4	TIGR00001
252	107	TIGR00001
13358	2	TIGR00001
716	5	TIGR00001
271	55	TIGR00001
44593	1	TIGR00001
4872	4	TIGR00001
29138	3	TIGR00001
9789	4	TIGR00001
34	190	TIGR00001
116422	3	TIGR00001
2578	7	TIGR00001
7234	5	TIGR00001
1909	10	TIGR00001
8921	4	TIGR00001
2	535	TIGR00001
1115	12	TIGR00001
11025	1	TIGR00001
3079	3	TIGR00001
475	38	TIGR00001
3886	6	TIGR00001
2562	4	TIGR00001
118765	3	TIGR00001
6566	4	TIGR00001
5	184	TIGR00001
4011	3	TIGR00001
90	147	TIGR00001
522	14	TIGR00001
24022	2	TIGR00001
14	340	TIGR00001
2211	10	TIGR00001
34337	2	TIGR00001
25327	1	TIGR00001
258	60	TIGR00001
19	242	TIGR00001
666	12	TIGR00001
34955	2	TIGR00001
3450	15	TIGR00001
13357	6	TIGR00001
1	262	TIGR00001
558	10	TIGR00001
2223	10	TIGR00001
198	4	TIGR00002
95	91	TIGR00002
55	40	TIGR00002
4388	14	TIGR00002
3614	8	TIGR00002
2287	8	TIGR00002
2622	6	TIGR00002
23061	1	TIGR00002
83	119	TIGR00002
12	477	TIGR00002
51	85	TIGR00002
14796	3	TIGR00002
9279	4	TIGR00002
80	44	TIGR00002
56	51	TIGR00002
1733	4	TIGR00002
43	167	TIGR00002
12922	4	TIGR00002
11681	5	TIGR00002
926	4	TIGR00002
114	64	TIGR00002
37421	2	TIGR00002
175	106	TIGR00002
279	22	TIGR00002
2	97	TIGR00002
2172	5	TIGR00002
16430	1	TIGR00002
1051	11	TIGR00002
48	131	TIGR00002
199	85	TIGR00002
9924	2	TIGR00002
103625	2	TIGR00002
214	14	TIGR00002
777	8	TIGR00002
16247	3	TIGR00002
29283	4	TIGR00002
554	42	TIGR00002
548	9	TIGR00002
65306	2	TIGR00002
5716	2	TIGR00002
91180	1	TIGR00002
2347	4	TIGR00002
30926	1	TIGR00002
524	13	TIGR00002
7682	5	TIGR00002
4887	4	TIGR00002
1	2368	TIGR00002
682	8	TIGR00002
10513	7	TIGR00002
3	1345	TIGR00002
6348	7	TIGR00002
4983	8	TIGR00002
4	1016	TIGR00002
4951	9	TIGR00002
69826	1	TIGR00002
16042	1	TIGR00009
200	24	TIGR00009
6	283	TIGR00009
9220	2	TIGR00009
1127	24	TIGR00009
335	64	TIGR00009
37267	3	TIGR00009
10513	3	TIGR00009
19487	3	TIGR00009
2444	14	TIGR00009
37870	3	TIGR00009
6384	5	TIGR00009
56	179	TIGR00009
1654	12	TIGR00009
12465	3	TIGR00009
3237	5	TIGR00009
1195	13	TIGR00009
69	171	TIGR00009
9	156	TIGR00009
278	38	TIGR00009
55477	3	TIGR00009
14	40	TIGR00009
3	640	TIGR00009
6482	6	TIGR00009
48984	2	TIGR00009
2211	14	TIGR00009
382	8	TIGR00009
623	22	TIGR00009
24860	4	TIGR00009
60097	1	TIGR00009
924	17	TIGR00009
1280	21	TIGR00009
484	20	TIGR00009
25411	3	TIGR00009
574	22	TIGR00009
6910	4	TIGR00009
2480	7	TIGR00009
1	808	TIGR00009
37	8	TIGR00009
38204	1	TIGR00009
32	130	TIGR00009
350	16	TIGR00009
4	904	TIGR00009
98021	3	TIGR00012
1837	27	TIGR00012
6	570	TIGR00012
9326	12	TIGR00012
33203	3	TIGR00012
8	84	TIGR00012
24920	5	TIGR00012
28499	4	TIGR00012
482	55	TIGR00012
6809	8	TIGR00012
1356	11	TIGR00012
2354	11	TIGR00012
65	180	TIGR00012
48	198	TIGR00012
84891	3	TIGR00012
1535	13	TIGR00012
4179	9	TIGR00012
5731	11	TIGR00012
3266	12	TIGR00012
46800	5	TIGR00012
2088	9	TIGR00012
1372	10	TIGR00012
13154	5	TIGR00012
25650	7	TIGR00012
7628	11	TIGR00012
344	11	TIGR00012
1826	11	TIGR00012
7632	5	TIGR00012
568	40	TIGR00012
873	17	TIGR00012
324	28	TIGR00012
7203	10	TIGR00012
1614	24	TIGR00012
12728	11	TIGR00012
861	39	TIGR00012
138	91	TIGR00012
420	16	TIGR00012
412	46	TIGR00012
9425	5	TIGR00012
2133	23	TIGR00012
30259	6	TIGR00012
262	60	TIGR00012
4788	11	TIGR00012
11	85	TIGR00012
4	887	TIGR00012
12335	5	TIGR00012
42	198	TIGR00012
76	95	TIGR00012
4541	5	TIGR00012
46	207	TIGR00012
1384	21	TIGR00012
56179	4	TIGR00012
16427	5	TIGR00012
1	664	TIGR00012
10	128	TIGR00012
943	14	TIGR00012
7070	9	TIGR00012
3	1040	TIGR00012
6088	12	TIGR00012
906	15	TIGR00012
882	23	TIGR00012
10008	6	TIGR00012
5846	3	TIGR00019
6	536	TIGR00019
50	103	TIGR00019
13067	2	TIGR00019
918	12	TIGR00019
8674	3	TIGR00019
1042	17	TIGR00019
4255	5	TIGR00019
58290	2	TIGR00019
23540	2	TIGR00019
2381	4	TIGR00019
16876	2	TIGR00019
230	31	TIGR00019
499	5	TIGR00019
134916	1	TIGR00019
7333	3	TIGR00019
17	202	TIGR00019
2832	7	TIGR00019
4838	2	TIGR00019
8964	4	TIGR00019
4622	8	TIGR00019
8	481	TIGR00019
13168	5	TIGR00019
1576	11	TIGR00019
385	20	TIGR00019
114	67	TIGR00019
322	74	TIGR00019
333	33	TIGR00019
392	29	TIGR00019
13557	4	TIGR00019
279	25	TIGR00019
133	83	TIGR00019
2187	4	TIGR00019
283	68	TIGR00019
2155	12	TIGR00019
268	46	TIGR00019
5318	8	TIGR00019
1782	11	TIGR00019
7965	6	TIGR00019
5209	10	TIGR00019
4	269	TIGR00019
3	236	TIGR00019
4173	6	TIGR00019
2310	9	TIGR00019
8100	3	TIGR00019
2966	2	TIGR00019
19462	2	TIGR00019
48	126	TIGR00019
1900	11	TIGR00019
49473	2	TIGR00019
357	5	TIGR00029
107	14	TIGR00029
